"MitorRNA_IQTREE_NN"	"MitorRNA_RAxML_NN"	"MitorRNA_MrB_NN"	"Mito_IQTREE_NN"	"Mito_RAxML_NN"	"Mito_MrB_NN"	"atp6_IQTREE_NN"	"atp6_RAxML_NN"	"atp6_MrB_NN"	"atp6C3_IQTREE_NN"	"cox1_IQTREE_NN"	"cox1_RAxML_NN"	"cox1_MrB_NN"	"cox1C3_IQTREE_NN"	"cox2_IQTREE_NN"	"cox2_RAxML_NN"	"cox2_MrB_NN"	"cox2C3_IQTREE_NN"	"cox3_IQTREE_NN"	"cox3_RAxML_NN"	"cox3_MrB_NN"	"cox3C3_IQTREE_NN"	"cytb_IQTREE_NN"	"cytb_RAxML_NN"	"cytb_MrB_NN"	"cytbC3_IQTREE_NN"	"nad1_IQTREE_NN"	"nad1_RAxML_NN"	"nad1_MrB_NN"	"nad1C3_IQTREE_NN"	"nad2_IQTREE_NN"	"nad2_RAxML_NN"	"nad2_MrB_NN"	"nad2C3_IQTREE_NN"	"nad3_IQTREE_NN"	"nad3_RAxML_NN"	"nad3_MrB_NN"	"nad3C3_IQTREE_NN"	"nad4L_IQTREE_NN"	"nad4L_RAxML_NN"	"nad4L_MrB_NN"	"nad4LC3_IQTREE_NN"	"nad4_IQTREE_NN"	"nad4_RAxML_NN"	"nad4_MrB_NN"	"nad4C3_IQTREE_NN"	"nad5_IQTREE_NN"	"nad5_RAxML_NN"	"nad5_MrB_NN"	"nad5C3_IQTREE_NN"	"nad6_IQTREE_NN"	"nad6_RAxML_NN"	"nad6_MrB_NN"	"nad6C3_IQTREE_NN"	"r18S_IQTREE_NN"	"r18S_RAxML_NN"	"r18S_MrB_NN"	"r28S_IQTREE_NN"	"r28S_RAxML_NN"	"r28S_MrB_NN"	"rrnL_IQTREE_NN"	"rrnL_RAxML_NN"	"rrnL_MrB_NN"	"rrnS_IQTREE_NN"	"rrnS_RAxML_NN"	"rrnS_MrB_NN"	"Mito_IQTREE_AA"	"Mito_RAxML_AA"	"Mito_MrB_AA"	"atp6_IQTREE_AA"	"atp6_RAxML_AA"	"atp6_MrB_AA"	"cox1_IQTREE_AA"	"cox1_RAxML_AA"	"cox1_MrB_AA"	"cox2_IQTREE_AA"	"cox2_RAxML_AA"	"cox2_MrB_AA"	"cox3_IQTREE_AA"	"cox3_RAxML_AA"	"cox3_MrB_AA"	"cytb_IQTREE_AA"	"cytb_RAxML_AA"	"cytb_MrB_AA"	"nad1_IQTREE_AA"	"nad1_RAxML_AA"	"nad1_MrB_AA"	"nad2_IQTREE_AA"	"nad2_RAxML_AA"	"nad2_MrB_AA"	"nad3_IQTREE_AA"	"nad3_RAxML_AA"	"nad3_MrB_AA"	"nad4L_IQTREE_AA"	"nad4L_RAxML_AA"	"nad4L_MrB_AA"	"nad4_IQTREE_AA"	"nad4_RAxML_AA"	"nad4_MrB_AA"	"nad5_IQTREE_AA"	"nad5_RAxML_AA"	"nad5_MrB_AA"	"nad6_IQTREE_AA"	"nad6_RAxML_AA"	"nad6_MrB_AA"	"Cluster"
0	0	0	4	2	4	6	16	9	8	12	12	9	10	10	10	8	8	10	10	8	10	12	14	11	12	8	8	8	8	20	16	13	20	12	14	12	12	12	12	9	16	12	12	10	12	10	12	10	12	16	16	12	18	4	4	6	8	8	7	8	10	6	10	8	7	4	4	6	12	12	10	10	10	9	10	10	8	12	12	6	12	12	10	4	4	6	18	18	8	14	14	13	10	8	9	10	10	10	12	12	11	14	14	9	5
0	0	0	4	2	4	6	16	9	8	12	12	9	10	10	10	8	8	10	10	8	10	12	14	11	12	8	8	8	8	20	16	13	20	12	14	12	12	12	12	9	16	12	12	10	12	10	12	10	12	16	16	12	18	4	4	6	8	8	7	8	10	6	10	8	7	4	4	6	12	12	10	10	10	9	10	10	8	12	12	6	12	12	10	4	4	6	18	18	8	14	14	13	10	8	9	10	10	10	12	12	11	14	14	9	5
0	0	0	4	2	4	6	16	9	8	12	12	9	10	10	10	8	8	10	10	8	10	12	14	11	12	8	8	8	8	20	16	13	20	12	14	12	12	12	12	9	16	12	12	10	12	10	12	10	12	16	16	12	18	4	4	6	8	8	7	8	10	6	10	8	7	4	4	6	12	12	10	10	10	9	10	10	8	12	12	6	12	12	10	4	4	6	18	18	8	14	14	13	10	8	9	10	10	10	12	12	11	14	14	9	5
4	4	4	0	2	0	6	14	7	10	12	14	11	8	12	12	10	10	12	12	10	10	10	12	9	10	10	10	10	10	20	18	13	20	12	14	12	10	10	10	7	16	12	12	10	12	12	12	12	12	14	14	10	16	6	6	8	12	12	11	4	8	4	12	10	9	0	0	2	10	10	8	6	6	5	10	10	8	12	12	6	10	10	12	8	8	6	18	18	6	12	12	11	10	6	9	12	12	12	10	10	11	12	12	7	5
2	2	2	2	0	2	8	16	9	10	12	12	9	8	12	12	10	10	12	12	10	10	12	14	11	12	8	8	8	8	20	16	13	20	12	14	12	12	10	10	7	16	12	12	10	12	10	12	10	12	16	16	12	18	4	4	6	10	10	9	6	10	6	12	10	9	2	2	4	12	12	10	8	8	7	10	10	8	12	12	6	12	12	12	6	6	8	18	18	6	12	12	11	10	8	9	10	10	10	12	12	11	12	12	9	5
4	4	4	0	2	0	6	14	7	10	12	14	11	8	12	12	10	10	12	12	10	10	10	12	9	10	10	10	10	10	20	18	13	20	12	14	12	10	10	10	7	16	12	12	10	12	12	12	12	12	14	14	10	16	6	6	8	12	12	11	4	8	4	12	10	9	0	0	2	10	10	8	6	6	5	10	10	8	12	12	6	10	10	12	8	8	6	18	18	6	12	12	11	10	6	9	12	12	12	10	10	11	12	12	7	5
6	6	6	6	8	6	0	10	3	4	14	12	9	14	12	12	10	12	10	10	8	12	6	8	5	6	10	10	10	10	22	22	15	22	14	16	14	12	14	14	11	18	14	14	12	14	14	14	14	14	16	16	12	18	10	10	12	10	10	9	10	12	8	12	12	9	6	6	4	10	10	8	4	4	5	14	14	12	12	12	8	6	6	6	6	6	4	22	22	12	16	16	15	12	10	11	16	16	14	8	8	9	16	16	9	10
16	16	16	14	16	14	10	0	7	14	14	12	9	16	18	18	16	18	18	18	16	18	8	8	7	10	14	14	14	14	22	22	15	22	20	22	18	18	16	16	13	16	14	14	12	14	18	18	16	18	16	16	12	18	14	14	18	18	18	17	14	16	12	18	18	15	14	14	12	14	14	12	10	10	11	18	18	14	16	16	12	10	10	14	14	14	12	22	22	16	20	20	15	14	12	13	20	20	16	12	12	15	16	16	13	10
9	9	9	7	9	7	3	7	0	7	13	11	8	13	13	13	11	13	11	11	9	11	5	5	2	3	9	9	9	9	19	19	12	19	13	15	13	11	13	13	10	15	11	11	9	11	13	13	11	13	13	13	9	15	11	11	13	13	13	12	9	11	7	13	13	10	7	7	5	7	7	5	5	5	4	13	13	9	9	9	5	3	3	7	7	7	5	19	19	11	13	13	12	11	9	10	15	15	11	7	7	8	13	13	8	10
8	8	8	10	10	10	4	14	7	0	16	14	11	16	14	14	12	14	10	10	8	12	10	12	9	10	12	12	12	12	24	24	17	24	16	18	16	16	16	16	13	20	16	16	14	16	16	16	16	14	20	20	16	22	12	12	14	12	12	11	14	16	12	14	14	11	10	10	8	10	10	8	8	8	9	16	16	14	14	14	10	10	10	6	8	8	8	24	24	14	18	18	17	14	14	13	14	14	16	12	12	11	18	18	13	9
